player_name,assists,appearances
Karim Benzema,176,740
David Beckham,176,581
Hulk,178,601
Wayne Rooney,179,862
Eden Hazard,181,675
Andrés Iniesta,182,849
Dusan Tadic,185,587
Dries Mertens,188,691
Thierry Henry,190,716
Neymar,190,501
Arjen Robben,193,703
Zlatan Ibrahimovic,196,861
David Silva,200,754
Kevin de Bruyne,200,520
Andrey Arshavin,201,700
Steffen Hofmann,201,629
Thomas Müller,224,667
Franck Ribery,227,649
Xavi,230,950
Cesc Fabregas,234,800
Angel Di Maria,235,695
Mesut Özil,253,653
Luis Suarez,256,713
Cristiano Ronaldo,258,1008
Lionel Messi,319,866
