game_id,saison,league,gameday,venue,team,team_table_position,opponent,opponent_table_position,result,player_position,goal_minute,goal_score,goal_type
3964335,2004,Segunda División B - Grupo III (-20/21),2,H,FC Barcelona B,1,FC Girona,5,1:2,LA,65',1:2,Linksschuss
3964337,2004,Segunda División B - Grupo III (-20/21),4,H,FC Barcelona B,1,Espanyol Barcelona B,17,2:0,LA,88',2:0,Linksschuss
3964343,2004,Segunda División B - Grupo III (-20/21),10,A,FC Barcelona B,1,Villajoyosa CF,8,2:1,OM,2',0:1,Ohne weitere Angaben
3964348,2004,Segunda División B - Grupo III (-20/21),14,A,FC Barcelona B,1,UE Figueres,15,2:2,OM,20',0:1,Ohne weitere Angaben
3964351,2004,Segunda División B - Grupo III (-20/21),17,H,FC Barcelona B,1,CD Alcoyano,11,2:0,MS,40',2:0,Linksschuss
3964375,2004,Segunda División B - Grupo III (-20/21),33,H,FC Barcelona B,1,UE Figueres,11,2:2,OM,15',2:0,Rechtsschuss
28230,2004,LaLiga,34,H,FC Barcelona,1,Albacete Balompié,19,2:0,MS,90'+1,2:0,Linksschuss
35615,2005,UEFA Champions League,Gruppenphase,H,FC Barcelona,,Panathinaikos Athen,,5:0,RA,34',3:0,Linksschuss
36004,2005,LaLiga,13,H,FC Barcelona,1,Racing Santander,18,4:1,RA,51',2:0,Linksschuss
36020,2005,LaLiga,19,H,FC Barcelona,1,Athletic Bilbao,19,2:1,RA,50',2:1,Linksschuss
36025,2005,LaLiga,20,H,FC Barcelona,1,Deportivo Alavés,19,2:0,MS,82',2:0,Linksschuss
36031,2005,LaLiga,21,A,FC Barcelona,1,RCD Mallorca,17,3:0,MS,75',0:2,Rechtsschuss
36031,2005,LaLiga,21,A,FC Barcelona,1,RCD Mallorca,17,3:0,MS,83',0:3,Linksschuss
2421924,2005,Copa del Rey,Viertelfinale,H,FC Barcelona,,Real Saragossa ,,2:1,MS,42',1:0,Kopfball
36039,2005,LaLiga,24,H,FC Barcelona,1,Real Betis Sevilla,15,5:1,RA,84',5:1,Linksschuss
58417,2006,LaLiga,1,A,FC Barcelona,2,Celta Vigo,18,3:2,LA,59',1:2,Linksschuss
