game_id,player_current_club,tournament,gameday,venue_country,venue_city,venue,date,team,opponent,result,player_position,goal_amount,assists_amount,own_goals_amount,yellow_card,yellow_red_card,red_card
1059978,FC Barcelona,Freundschaftsspiele,,Ungarn,Budapest,A,17.08.2005,Argentinien,Ungarn,2:1,HS,0,0,0,,,65'
2373422,FC Barcelona,WM-Qualifikation Südamerika,Gruppe A,Paraguay,Asunción,A,03.09.2005,Argentinien,Paraguay,0:1,HS,0,0,0,,,
2373430,FC Barcelona,WM-Qualifikation Südamerika,Gruppe A,Argentinien,Buenos Aires,H,09.10.2005,Argentinien,Peru,2:0,HS,0,1,0,,,
2373435,FC Barcelona,WM-Qualifikation Südamerika,Gruppe A,Uruguay,Montevideo,A,13.10.2005,Argentinien,Uruguay,0:1,RM,0,0,0,,,
1059980,FC Barcelona,Freundschaftsspiele,,Katar,Doha,A,16.11.2005,Argentinien,Katar,3:0,HS,0,1,0,,,
1059981,FC Barcelona,Freundschaftsspiele,,Schweiz,Basel,A,01.03.2006,Argentinien,Kroatien,2:3,RM,1,1,0,,,
1059982,FC Barcelona,Freundschaftsspiele,,Italien,Salerno,H,29.05.2006,Argentinien,Angola,2:0,OM,0,0,0,,,
1126204,FC Barcelona,Weltmeisterschaft 2006,Gruppe C,Deutschland,Gelsenkirchen,H,16.06.2006,Argentinien,Serbien und Montenegro,6:0,RM,1,1,0,,,
49340,FC Barcelona,Weltmeisterschaft 2006,Gruppe C,Deutschland,Frankfurt (Main),A,21.06.2006,Argentinien,Niederlande,0:0,HS,0,0,0,,,
53478,FC Barcelona,Weltmeisterschaft 2006,Achtelfinale,Deutschland,Leipzig,H,24.06.2006,Argentinien,Mexiko,2:1 n.V.,HS,0,0,0,,,
1059972,FC Barcelona,Freundschaftsspiele,,England,London,A,02.09.2006,Argentinien,Brasilien,0:3,MS,0,0,0,,,
1059973,FC Barcelona,Freundschaftsspiele,,Spanien,Murcia,A,11.10.2006,Argentinien,Spanien,1:2,HS,0,0,0,,,
1059976,FC Barcelona,Freundschaftsspiele,,Schweiz,Basel,A,02.06.2007,Argentinien,Schweiz,1:1,RA,0,1,0,,,
1059977,FC Barcelona,Freundschaftsspiele,,Spanien,Barcelona,A,05.06.2007,Argentinien,Algerien,4:3,RA,2,0,0,,,
1021914,FC Barcelona,Copa América 2007,Gruppe 3,Venezuela,Maracaibo,H,29.06.2007,Argentinien,Vereinigte Staaten,4:1,HS,0,1,0,,,
1021935,FC Barcelona,Copa América 2007,Gruppe 3,Venezuela,Maracaibo,H,03.07.2007,Argentinien,Kolumbien,4:2,HS,0,0,0,,,
1021956,FC Barcelona,Copa América 2007,Gruppe 3,Venezuela,Barquisimeto,H,06.07.2007,Argentinien,Paraguay,1:0,OM,0,0,0,,,
1021970,FC Barcelona,Copa América 2007,Viertelfinale,Venezuela,Barquisimeto,H,09.07.2007,Argentinien,Peru,4:0,HS,1,0,0,,,
1021977,FC Barcelona,Copa América 2007,Halbfinale,Venezuela,Puerto Ordaz,A,12.07.2007,Argentinien,Mexiko,3:0,HS,1,0,0,51',,
1021979,FC Barcelona,Copa América 2007,Finale,Venezuela,Maracaibo,A,15.07.2007,Argentinien,Brasilien,0:3,HS,0,0,0,,,
1059968,FC Barcelona,Freundschaftsspiele,,Norwegen,Oslo,A,22.08.2007,Argentinien,Norwegen,1:2,OM,0,0,0,,,
1059969,FC Barcelona,Freundschaftsspiele,,Australien,Melbourne,A,11.09.2007,Argentinien,Australien,1:0,HS,0,1,0,,,
910344,FC Barcelona,WM-Qualifikation Südamerika,Gruppe A,Argentinien,Buenos Aires,H,13.10.2007,Argentinien,Chile,2:0,HS,0,0,0,,,
910348,FC Barcelona,WM-Qualifikation Südamerika,Gruppe A,Venezuela,San Cristóbal,A,17.10.2007,Argentinien,Venezuela,2:0,HS,1,0,0,,,
910353,FC Barcelona,WM-Qualifikation Südamerika,Gruppe A,Argentinien,Buenos Aires,H,17.11.2007,Argentinien,Bolivien,3:0,RM,0,1,0,,,
910359,FC Barcelona,WM-Qualifikation Südamerika,Gruppe A,Kolumbien,,A,21.11.2007,Argentinien,Kolumbien,1:2,HS,1,0,0,,,
910140,FC Barcelona,Freundschaftsspiele,,Vereinigte Staaten,"Bridgeview, Illinois",A,05.06.2008,Argentinien,Mexiko,4:1,OM,1,1,0,37',,
1059971,FC Barcelona,Freundschaftsspiele,,Vereinigte Staaten,"East Rutherford, New Jersey",A,08.06.2008,Argentinien,Vereinigte Staaten,0:0,OM,0,0,0,,,
910366,FC Barcelona,WM-Qualifikation Südamerika,Gruppe A,Argentinien,Buenos Aires,H,15.06.2008,Argentinien,Ecuador,1:1,HS,0,0,0,,,
910371,FC Barcelona,WM-Qualifikation Südamerika,Gruppe A,Brasilien,Belo Horizonte,A,19.06.2008,Argentinien,Brasilien,0:0,HS,0,0,0,,,
911910,FC Barcelona,WM-Qualifikation Südamerika,Gruppe A,Argentinien,Buenos Aires,H,06.09.2008,Argentinien,Paraguay,1:1,HS,0,1,0,,,
911929,FC Barcelona,WM-Qualifikation Südamerika,Gruppe A,Peru,Lima,A,11.09.2008,Argentinien,Peru,1:1,HS,0,0,0,,,
911935,FC Barcelona,WM-Qualifikation Südamerika,Gruppe A,Argentinien,Buenos Aires,H,11.10.2008,Argentinien,Uruguay,2:1,RM,1,0,0,83',,
927236,FC Barcelona,WM-Qualifikation Südamerika,Gruppe A,Chile,Santiago de Chile,A,16.10.2008,Argentinien,Chile,0:1,OM,0,0,0,,,
934867,FC Barcelona,Freundschaftsspiele,,Frankreich,Marseille,A,11.02.2009,Argentinien,Frankreich,2:0,HS,1,0,0,,,
911980,FC Barcelona,WM-Qualifikation Südamerika,Gruppe A,Argentinien,Buenos Aires,H,28.03.2009,Argentinien,Venezuela,4:0,OM,1,1,0,,,
911981,FC Barcelona,WM-Qualifikation Südamerika,Gruppe A,Bolivien,La Paz,A,01.04.2009,Argentinien,Bolivien,1:6,HS,0,0,0,,,
911988,FC Barcelona,WM-Qualifikation Südamerika,Gruppe A,Argentinien,Buenos Aires,H,06.06.2009,Argentinien,Kolumbien,1:0,RA,0,0,0,,,
911991,FC Barcelona,WM-Qualifikation Südamerika,Gruppe A,Ecuador,Quito,A,10.06.2009,Argentinien,Ecuador,0:2,HS,0,0,0,,,
911997,FC Barcelona,WM-Qualifikation Südamerika,Gruppe A,Argentinien,Rosario,H,06.09.2009,Argentinien,Brasilien,1:3,HS,0,0,0,,,
912001,FC Barcelona,WM-Qualifikation Südamerika,Gruppe A,Paraguay,Asunción,A,10.09.2009,Argentinien,Paraguay,0:1,HS,0,0,0,,,
912009,FC Barcelona,WM-Qualifikation Südamerika,Gruppe A,Argentinien,Buenos Aires,H,10.10.2009,Argentinien,Peru,2:1,HS,0,0,0,,,
912011,FC Barcelona,WM-Qualifikation Südamerika,Gruppe A,Uruguay,Montevideo,A,15.10.2009,Argentinien,Uruguay,1:0,RA,0,0,0,,,
971550,FC Barcelona,Freundschaftsspiele,,Spanien,Madrid,A,14.11.2009,Argentinien,Spanien,1:2,HS,1,0,0,,,
