player_name,year,title,team
Lionel Messi,2022,Weltmeister,Argentinien
Lionel Messi,23/24,Copa América-Sieger,Argentinien
Lionel Messi,20/21,Copa América-Sieger,Argentinien
Lionel Messi,2023,Weltfußballer,Inter Miami CF
Lionel Messi,2022,Weltfußballer,FC Paris Saint-Germain
Lionel Messi,2019,Weltfußballer,FC Barcelona
Lionel Messi,2009,Weltfußballer,FC Barcelona
Lionel Messi,2023,Gewinner Ballon d'Or,
Lionel Messi,2021,Gewinner Ballon d'Or,
Lionel Messi,2019,Gewinner Ballon d'Or,
Lionel Messi,2015,Gewinner Ballon d'Or,
Lionel Messi,2012,Gewinner Ballon d'Or,
Lionel Messi,2011,Gewinner Ballon d'Or,
Lionel Messi,2010,Gewinner Ballon d'Or,
Lionel Messi,2009,Gewinner Ballon d'Or,
Lionel Messi,2015,UEFA Europas Fußballer des Jahres,FC Barcelona
Lionel Messi,2011,UEFA Europas Fußballer des Jahres,FC Barcelona
Lionel Messi,2009,UEFA Europas Fußballer des Jahres,FC Barcelona
Lionel Messi,14/15,Champions-League-Sieger,FC Barcelona
Lionel Messi,10/11,Champions-League-Sieger,FC Barcelona
Lionel Messi,08/09,Champions-League-Sieger,FC Barcelona
Lionel Messi,05/06,Champions-League-Sieger,FC Barcelona
Lionel Messi,2016,FIFA-Klub-Weltmeister,FC Barcelona
Lionel Messi,2012,FIFA-Klub-Weltmeister,FC Barcelona
Lionel Messi,2010,FIFA-Klub-Weltmeister,FC Barcelona
Lionel Messi,18/19,Gewinner des Goldenen Schuhs (Europa),FC Barcelona
Lionel Messi,17/18,Gewinner des Goldenen Schuhs (Europa),FC Barcelona
Lionel Messi,16/17,Gewinner des Goldenen Schuhs (Europa),FC Barcelona
Lionel Messi,12/13,Gewinner des Goldenen Schuhs (Europa),FC Barcelona
Lionel Messi,11/12,Gewinner des Goldenen Schuhs (Europa),FC Barcelona
Lionel Messi,09/10,Gewinner des Goldenen Schuhs (Europa),FC Barcelona
