player_name,game_id,saison,league,gameday,venue,team,team_table_position,opponent,opponent_table_position,result,player_position,goal_minute,goal_score,goal_type,goal_added_time,added_time
Lionel Messi,28230,2004,LaLiga,34,H,FC Barcelona,1,Albacete Balompié,19,2:0,MS,90,2:0,Linksschuss,0,1
Lionel Messi,35615,2005,UEFA Champions League,Gruppenphase,H,FC Barcelona,,Panathinaikos Athen,,5:0,RA,34,3:0,Linksschuss,0,0
Lionel Messi,36004,2005,LaLiga,13,H,FC Barcelona,1,Racing Santander,18,4:1,RA,51,2:0,Linksschuss,0,0
Lionel Messi,36020,2005,LaLiga,19,H,FC Barcelona,1,Athletic Bilbao,19,2:1,RA,50,2:1,Linksschuss,0,0
Lionel Messi,36025,2005,LaLiga,20,H,FC Barcelona,1,Deportivo Alavés,19,2:0,MS,82,2:0,Linksschuss,0,0
Lionel Messi,36031,2005,LaLiga,21,A,FC Barcelona,1,RCD Mallorca,17,3:0,MS,75,0:2,Rechtsschuss,0,0
Lionel Messi,36031,2005,LaLiga,21,A,FC Barcelona,1,RCD Mallorca,17,3:0,MS,83,0:3,Linksschuss,0,0
Lionel Messi,2421924,2005,Copa del Rey,Viertelfinale,H,FC Barcelona,,Real Saragossa ,,2:1,MS,42,1:0,Kopfball,0,0
Lionel Messi,36039,2005,LaLiga,24,H,FC Barcelona,1,Real Betis Sevilla,15,5:1,RA,84,5:1,Linksschuss,0,0
Lionel Messi,58417,2006,LaLiga,1,A,FC Barcelona,2,Celta Vigo,18,3:2,LA,59,1:2,Linksschuss,0,0
Lionel Messi,58426,2006,LaLiga,2,H,FC Barcelona,4,CA Osasuna,19,3:0,RA,36,3:0,Linksschuss,0,0
Lionel Messi,64832,2006,UEFA Champions League,Gruppenphase,A,FC Barcelona,,SV Werder Bremen,,1:1,RA,89,1:1,Linksschuss,0,0
Lionel Messi,58475,2006,LaLiga,6,H,FC Barcelona,1,FC Sevilla,3,3:1,RA,80,3:1,Rechtsschuss,0,0
Lionel Messi,58667,2006,LaLiga,26,H,FC Barcelona,2,Real Madrid,4,3:3,RA,11,1:1,Linksschuss,0,0
Lionel Messi,58667,2006,LaLiga,26,H,FC Barcelona,2,Real Madrid,4,3:3,RA,28,2:2,Linksschuss,0,0
Lionel Messi,58667,2006,LaLiga,26,H,FC Barcelona,2,Real Madrid,4,3:3,RA,90,3:3,Linksschuss,0,1
Lionel Messi,58681,2006,LaLiga,27,A,FC Barcelona,1,Recreativo Huelva,7,4:0,RA,86,0:4,Linksschuss,0,0
Lionel Messi,58687,2006,LaLiga,28,H,FC Barcelona,1,Deportivo La Coruna ,12,2:1,RA,45,1:0,Linksschuss,0,0
Lionel Messi,2283262,2006,Copa del Rey,Halbfinale,H,FC Barcelona,,FC Getafe,,5:2,RA,29,2:0,Sololauf,0,0
Lionel Messi,2283262,2006,Copa del Rey,Halbfinale,H,FC Barcelona,,FC Getafe,,5:2,RA,45,3:0,Linksschuss,0,0
Lionel Messi,58756,2006,LaLiga,35,A,FC Barcelona,2,Atlético Madrid,6,6:0,RA,39,0:1,Linksschuss,0,0
Lionel Messi,58756,2006,LaLiga,35,A,FC Barcelona,2,Atlético Madrid,6,6:0,RA,80,0:5,Linksschuss,0,0
Lionel Messi,58777,2006,LaLiga,37,H,FC Barcelona,2,Espanyol Barcelona,12,2:2,RA,43,1:1,Ohne weitere Angaben,0,0
Lionel Messi,58777,2006,LaLiga,37,H,FC Barcelona,2,Espanyol Barcelona,12,2:2,RA,57,2:1,Rechtsschuss,0,0
Lionel Messi,58789,2006,LaLiga,38,A,FC Barcelona,2,Gimnàstic de Tarragona ,20,5:1,RA,34,0:2,Linksschuss,0,0
Lionel Messi,58789,2006,LaLiga,38,A,FC Barcelona,2,Gimnàstic de Tarragona ,20,5:1,RA,51,0:4,Linksschuss,0,0
Lionel Messi,83331,2007,UEFA Champions League,Gruppenphase,H,FC Barcelona,,Olympique Lyon,,3:0,RA,82,2:0,Linksschuss,0,0
Lionel Messi,78816,2007,LaLiga,4,H,FC Barcelona,5,FC Sevilla,2,2:1,RA,72,1:0,Linksschuss,0,0
Lionel Messi,78816,2007,LaLiga,4,H,FC Barcelona,5,FC Sevilla,2,2:1,RA,79,2:0,Elfmeter,0,0
Lionel Messi,78825,2007,LaLiga,5,H,FC Barcelona,4,Real Saragossa ,8,4:1,RA,5,1:0,Linksschuss,0,0
Lionel Messi,78825,2007,LaLiga,5,H,FC Barcelona,4,Real Saragossa ,8,4:1,RA,10,2:1,Linksschuss,0,0
Lionel Messi,78839,2007,LaLiga,6,A,FC Barcelona,4,UD Levante,20,4:1,RA,50,0:4,Linksschuss,0,0
Lionel Messi,83337,2007,UEFA Champions League,Gruppenphase,A,FC Barcelona,,VfB Stuttgart,,2:0,RA,66,0:2,abgefälschter Torschuss,0,0
Lionel Messi,78845,2007,LaLiga,7,H,FC Barcelona,4,Atlético Madrid,5,3:0,RA,19,2:0,Linksschuss,0,0
Lionel Messi,78865,2007,LaLiga,9,H,FC Barcelona,4,UD Almería,9,2:0,RA,80,2:0,Elfmeter,0,0
Lionel Messi,83375,2007,UEFA Champions League,Gruppenphase,H,FC Barcelona,,Glasgow Rangers,,2:0,RA,41,2:0,Abstauber,0,0
Lionel Messi,78906,2007,LaLiga,13,H,FC Barcelona,3,Recreativo Huelva,17,3:0,RA,81,3:0,Elfmeter,0,0
Lionel Messi,83378,2007,UEFA Champions League,Gruppenphase,A,FC Barcelona,,Olympique Lyon,,2:2,RA,58,1:2,Elfmeter,0,0
Lionel Messi,88392,2007,UEFA Champions League,Achtelfinale,A,FC Barcelona,,Celtic Glasgow,,3:2,RA,18,1:1,Linksschuss,0,0
Lionel Messi,88392,2007,UEFA Champions League,Achtelfinale,A,FC Barcelona,,Celtic Glasgow,,3:2,RA,79,2:3,Linksschuss,0,0
Lionel Messi,79025,2007,LaLiga,25,H,FC Barcelona,2,UD Levante,20,5:1,RA,44,2:1,Linksschuss,0,0
Lionel Messi,79132,2007,LaLiga,35,H,FC Barcelona,3,FC Valencia,13,6:0,RA,5,1:0,Elfmeter,0,0
Lionel Messi,920353,2008,LaLiga,2,H,FC Barcelona,16,Racing Santander,12,1:1,RA,70,1:0,Elfmeter,0,0
Lionel Messi,920362,2008,LaLiga,3,A,FC Barcelona,17,Sporting Gijón,20,6:1,RA,85,1:5,Linksschuss,0,0
Lionel Messi,920362,2008,LaLiga,3,A,FC Barcelona,17,Sporting Gijón,20,6:1,RA,89,1:6,Kopfball,0,0
Lionel Messi,920381,2008,LaLiga,5,A,FC Barcelona,6,Espanyol Barcelona,8,2:1,RA,90,1:2,Elfmeter,0,0
Lionel Messi,923861,2008,UEFA Champions League,Gruppenphase,A,FC Barcelona,,Shakhtar Donetsk,,2:1,RA,87,1:1,Rechtsschuss,0,0
Lionel Messi,923861,2008,UEFA Champions League,Gruppenphase,A,FC Barcelona,,Shakhtar Donetsk,,2:1,RA,90,1:2,Linksschuss,0,2
Lionel Messi,920391,2008,LaLiga,6,H,FC Barcelona,5,Atlético Madrid,7,6:1,RA,8,3:0,Direkter Freistoß,0,0
Lionel Messi,923876,2008,UEFA Champions League,Gruppenphase,A,FC Barcelona,,FC Basel 1893,,5:0,MS,4,0:1,Linksschuss,0,0
