player_name,saison,competition_type,competition,club,games_played,goals,assists,owngoals,substitute_in,substitute_out,yellow_cards,yellow_red_cards,red_cards,penalties,minutes_played
Lionel Messi,2024,Nationale Ligen,MLS Cup Playoffs,Inter Miami CF,3,1,1,0,0,0,0,0,0,0,270'
Lionel Messi,2024,Nationale Ligen,Major League Soccer,Inter Miami CF,19,20,10,0,4,0,2,0,0,1,1.486'
Lionel Messi,2023,Nationale Ligen,Major League Soccer,Inter Miami CF,6,1,2,0,2,1,0,0,0,0,372'
Lionel Messi,22/23,Nationale Ligen,Ligue 1,FC Paris Saint-Germain,32,16,16,0,0,5,0,0,0,0,2.842'
Lionel Messi,21/22,Nationale Ligen,Ligue 1,FC Paris Saint-Germain,26,6,15,0,2,2,0,0,0,0,2.152'
Lionel Messi,20/21,Nationale Ligen,LaLiga,FC Barcelona,35,30,11,0,2,1,4,0,0,3,3.023'
Lionel Messi,19/20,Nationale Ligen,LaLiga,FC Barcelona,33,25,22,0,1,1,4,0,0,5,2.880'
Lionel Messi,18/19,Nationale Ligen,LaLiga,FC Barcelona,34,36,14,0,5,1,3,0,0,4,2.710'
Lionel Messi,17/18,Nationale Ligen,LaLiga,FC Barcelona,36,34,14,0,4,0,3,0,0,2,2.996'
Lionel Messi,16/17,Nationale Ligen,LaLiga,FC Barcelona,34,37,12,0,2,4,6,0,0,6,2.832'
Lionel Messi,15/16,Nationale Ligen,LaLiga,FC Barcelona,33,26,16,0,2,2,3,0,0,3,2.729'
Lionel Messi,14/15,Nationale Ligen,LaLiga,FC Barcelona,38,43,21,0,1,0,4,0,0,5,3.375'
Lionel Messi,13/14,Nationale Ligen,LaLiga,FC Barcelona,31,28,11,0,2,5,2,0,0,6,2.502'
Lionel Messi,12/13,Nationale Ligen,LaLiga,FC Barcelona,32,46,13,0,4,1,1,0,0,4,2.626'
Lionel Messi,11/12,Nationale Ligen,LaLiga,FC Barcelona,37,50,19,0,1,0,6,0,0,10,3.269'
Lionel Messi,10/11,Nationale Ligen,LaLiga,FC Barcelona,33,31,21,0,2,1,3,0,0,4,2.861'
Lionel Messi,09/10,Nationale Ligen,LaLiga,FC Barcelona,35,34,11,0,5,4,3,0,0,1,2.840'
