game_id,saison,league,gameday,venue,team,team_table_position,opponent,opponent_table_position,result,player_position,goal_minute,goal_score,goal_type
2853688,2002,Liga Portugal,6,H,Sporting Lissabon,12,Moreirense FC,16,3:0,LA,34',2:0,Sololauf
2853688,2002,Liga Portugal,6,H,Sporting Lissabon,12,Moreirense FC,16,3:0,LA,90'+5,3:0,Kopfball
2853704,2002,Liga Portugal,8,A,Sporting Lissabon,5,Boavista Porto FC,10,1:2,,88',1:2,Rechtsschuss
3180366,2002,Taça de Portugal,4.Runde,H,Sporting Lissabon,,CD Estarreja,,4:1,LA,67',3:1,Linksschuss
3180365,2002,Taça de Portugal,5.Runde,H,Sporting Lissabon,,FC Oliveira do Hospital,,8:1,HS,13',3:0,Linksschuss
2454,2003,Premier League,11,H,Manchester United,3,FC Portsmouth,11,3:0,RA,80',2:0,Direkter Freistoß
2286257,2003,FA Cup,5.Runde,H,Manchester United,,Manchester City,,4:2,RA,74',3:0,Rechtsschuss
5943,2003,Premier League,29,H,Manchester United,3,Tottenham Hotspur,10,3:0,RA,89',2:0,Rechtsschuss
6563,2003,Premier League,32,A,Manchester United,3,Birmingham City,6,1:2,RA,60',1:1,Kopfball
7326,2003,Premier League,38,A,Manchester United,3,Aston Villa,5,0:2,RA,4',0:1,Rechtsschuss
2286263,2003,FA Cup,Finale,H,Manchester United,,FC Millwall,,3:0,RA,44',1:0,Kopfball
28417,2004,Premier League,16,H,Manchester United,4,FC Southampton,18,3:0,RA,87',3:0,Rechtsschuss
2266122,2004,FA Cup,3.Runde,A,Manchester United,,Exeter City,,0:2,,9',0:1,Linksschuss
28507,2004,Premier League,24,H,Manchester United,3,Aston Villa,10,3:1,,8',1:0,Rechtsschuss
28509,2004,Premier League,25,A,Manchester United,3,FC Arsenal,2,2:4,RA,54',2:2,Linksschuss
28509,2004,Premier League,25,A,Manchester United,3,FC Arsenal,2,2:4,RA,58',2:3,Abstauber
2266149,2004,FA Cup,5.Runde,A,Manchester United,,FC Everton,,0:2,,58',0:2,Abstauber
2266158,2004,FA Cup,6.Runde,A,Manchester United,,FC Southampton,,0:4,,45'+1,0:2,Linksschuss
28577,2004,Premier League,30,H,Manchester United,2,FC Fulham,16,1:0,,21',1:0,Rechtsschuss
1169028,2004,FA Cup,Halbfinale,A,Manchester United,,Newcastle United,,1:4,RA,76',1:4,Rechtsschuss
43273,2005,UEFA Champions League-Qualifikation,3.Runde,H,Manchester United,,Debreceni VSC,,3:0,,63',3:0,Rechtsschuss
37845,2005,Premier League,11,A,Manchester United,3,FC Middlesbrough,13,4:1,,90',4:1,Kopfball
2365810,2005,EFL Cup,Achtelfinale,H,Manchester United,,West Bromwich Albion,,3:1,RA,12',1:1,Elfmeter
37931,2005,Premier League,20,H,Manchester United,2,Bolton Wanderers,7,4:1,,68',3:1,Rechtsschuss
37931,2005,Premier League,20,H,Manchester United,2,Bolton Wanderers,7,4:1,,90',4:1,Linksschuss
37980,2005,Premier League,25,H,Manchester United,2,FC Fulham,13,4:2,,14',2:0,Direkter Freistoß
37980,2005,Premier League,25,H,Manchester United,2,FC Fulham,13,4:2,,87',4:2,Rechtsschuss
37992,2005,Premier League,26,A,Manchester United,2,FC Portsmouth,19,1:3,RA,38',0:2,Linksschuss
37992,2005,Premier League,26,A,Manchester United,2,FC Portsmouth,19,1:3,RA,45',0:3,Rechtsschuss
948880,2005,EFL Cup,Finale,H,Manchester United,,Wigan Athletic,,4:0,RA,59',3:0,Rechtsschuss
38015,2005,Premier League,28,A,Manchester United,2,Wigan Athletic,9,1:2,,74',1:1,Rechtsschuss
38112,2005,Premier League,38,H,Manchester United,2,Charlton Athletic,12,4:0,RA,23',2:0,Linksschuss
55439,2006,Premier League,1,H,Manchester United,1,FC Fulham,16,5:1,,19',4:0,Rechtsschuss
55492,2006,Premier League,6,A,Manchester United,2,FC Reading,6,1:1,MS,73',1:1,Rechtsschuss
55527,2006,Premier League,10,A,Manchester United,1,Bolton Wanderers,4,0:4,,82',0:3,Ohne weitere Angaben
55541,2006,Premier League,11,H,Manchester United,1,FC Portsmouth,5,3:0,RA,10',2:0,Direkter Freistoß
55580,2006,Premier League,15,H,Manchester United,1,FC Everton,8,3:0,,39',1:0,Ohne weitere Angaben
55599,2006,Premier League,17,H,Manchester United,1,Manchester City,11,3:1,RA,84',3:1,Ohne weitere Angaben
55618,2006,Premier League,19,A,Manchester United,1,Aston Villa,9,0:3,,58',0:1,Ohne weitere Angaben
55618,2006,Premier League,19,A,Manchester United,1,Aston Villa,9,0:3,,85',0:3,Ohne weitere Angaben
55630,2006,Premier League,20,H,Manchester United,1,Wigan Athletic,16,3:1,,47',1:0,Kopfball
55630,2006,Premier League,20,H,Manchester United,1,Wigan Athletic,16,3:1,,50',2:0,Elfmeternachschuss
55641,2006,Premier League,21,H,Manchester United,1,FC Reading,8,3:2,RA,58',2:1,Rechtsschuss
55641,2006,Premier League,21,H,Manchester United,1,FC Reading,8,3:2,RA,77',3:1,Rechtsschuss
55661,2006,Premier League,23,H,Manchester United,1,Aston Villa,13,3:1,,34',3:0,Kopfball
55683,2006,Premier League,25,H,Manchester United,1,FC Watford,19,4:0,RA,12',1:0,Elfmeter
55693,2006,Premier League,26,A,Manchester United,1,Tottenham Hotspur,8,0:4,RA,45',0:1,Elfmeter
55709,2006,Premier League,28,A,Manchester United,1,FC Fulham,14,1:2,,88',1:2,Sololauf
67381,2006,FA Cup,6.Runde,A,Manchester United,,FC Middlesbrough,,2:2,RA,68',2:2,Elfmeter
67530,2006,FA Cup,6.Runde,H,Manchester United,,FC Middlesbrough,,1:0,,76',1:0,Elfmeter
67391,2006,UEFA Champions League,Viertelfinale,H,Manchester United,,AS Rom,,7:1,RA,44',4:0,Rechtsschuss
67391,2006,UEFA Champions League,Viertelfinale,H,Manchester United,,AS Rom,,7:1,RA,49',5:0,Rechtsschuss
67695,2006,FA Cup,Halbfinale,A,Manchester United,,FC Watford,,1:4,,28',1:2,Rechtsschuss
68028,2006,UEFA Champions League,Halbfinale,H,Manchester United,,AC Mailand,,3:2,RA,5',1:0,Kopfball
55801,2006,Premier League,37,A,Manchester United,1,Manchester City,13,0:1,RA,34',0:1,Elfmeter
83330,2007,UEFA Champions League,Gruppenphase,A,Manchester United,,Sporting Lissabon,,0:1,MS,62',0:1,Kopfball
81559,2007,Premier League,8,A,Manchester United,3,Birmingham City,14,0:1,RA,51',0:1,Linksschuss
81567,2007,Premier League,9,H,Manchester United,3,Wigan Athletic,12,4:0,RA,59',2:0,Kopfball
81567,2007,Premier League,9,H,Manchester United,3,Wigan Athletic,12,4:0,RA,76',3:0,Rechtsschuss
83352,2007,UEFA Champions League,Gruppenphase,A,Manchester United,,Dynamo Kyiv,,2:4,RA,41',1:3,Rechtsschuss
83352,2007,UEFA Champions League,Gruppenphase,A,Manchester United,,Dynamo Kyiv,,2:4,RA,68',1:4,Elfmeter
81591,2007,Premier League,12,A,Manchester United,2,FC Arsenal,1,2:2,RA,82',1:2,Linksschuss
83377,2007,UEFA Champions League,Gruppenphase,H,Manchester United,,Dynamo Kyiv,,4:0,RA,88',4:0,Rechtsschuss
81606,2007,Premier League,13,H,Manchester United,2,Blackburn Rovers,6,2:0,RA,34',1:0,Kopfball
81606,2007,Premier League,13,H,Manchester United,2,Blackburn Rovers,6,2:0,RA,35',2:0,Rechtsschuss
83381,2007,UEFA Champions League,Gruppenphase,H,Manchester United,,Sporting Lissabon,,2:1,RA,90'+3,2:1,Direkter Freistoß
81625,2007,Premier League,15,H,Manchester United,3,FC Fulham,12,2:0,RA,10',1:0,Rechtsschuss
81625,2007,Premier League,15,H,Manchester United,3,FC Fulham,12,2:0,RA,58',2:0,Kopfball
81646,2007,Premier League,16,H,Manchester United,3,Derby County,20,4:1,RA,90',4:1,Elfmeter
81657,2007,Premier League,18,H,Manchester United,2,FC Everton,5,2:1,RA,22',1:0,Linksschuss
81657,2007,Premier League,18,H,Manchester United,2,FC Everton,5,2:1,RA,87',2:1,Elfmeter
81667,2007,Premier League,19,A,Manchester United,2,AFC Sunderland,18,0:4,,45',0:3,Direkter Freistoß
81679,2007,Premier League,20,A,Manchester United,1,West Ham United,10,2:1,RA,14',0:1,Kopfball
88443,2007,FA Cup,3.Runde,A,Manchester United,,Aston Villa,,0:2,,81',0:1,Linksschuss
81697,2007,Premier League,22,H,Manchester United,2,Newcastle United,11,6:0,RA,48',1:0,Direkter Freistoß
81697,2007,Premier League,22,H,Manchester United,2,Newcastle United,11,6:0,RA,70',3:0,Rechtsschuss
81697,2007,Premier League,22,H,Manchester United,2,Newcastle United,11,6:0,RA,88',5:0,Linksschuss
81708,2007,Premier League,23,A,Manchester United,1,FC Reading,13,0:2,RA,90'+2,0:2,Rechtsschuss
88672,2007,FA Cup,4.Runde,H,Manchester United,,Tottenham Hotspur,,3:1,RA,69',2:1,Elfmeter
88672,2007,FA Cup,4.Runde,H,Manchester United,,Tottenham Hotspur,,3:1,RA,88',3:1,Rechtsschuss
81720,2007,Premier League,24,H,Manchester United,1,FC Portsmouth,7,2:0,HS,10',1:0,Rechtsschuss
81720,2007,Premier League,24,H,Manchester United,1,FC Portsmouth,7,2:0,HS,12',2:0,Direkter Freistoß
81746,2007,Premier League,27,A,Manchester United,2,Newcastle United,13,1:5,RA,45',0:2,Rechtsschuss
81746,2007,Premier League,27,A,Manchester United,2,Newcastle United,13,1:5,RA,56',0:3,Rechtsschuss
88400,2007,UEFA Champions League,Achtelfinale,H,Manchester United,,Olympique Lyon,,1:0,RA,41',1:0,Linksschuss
81763,2007,Premier League,29,A,Manchester United,2,Derby County,20,0:1,MS,76',0:1,Rechtsschuss
81775,2007,Premier League,30,H,Manchester United,1,Bolton Wanderers,17,2:0,,8',1:0,Rechtsschuss
81775,2007,Premier League,30,H,Manchester United,1,Bolton Wanderers,17,2:0,,19',2:0,Direkter Freistoß
81786,2007,Premier League,31,H,Manchester United,1,FC Liverpool,4,3:0,RA,79',2:0,Kopfball
81796,2007,Premier League,32,H,Manchester United,1,Aston Villa,7,4:0,RA,16',1:0,Rechtsschuss
90145,2007,UEFA Champions League,Viertelfinale,A,Manchester United,,AS Rom,,0:2,MS,39',0:1,Kopfball
81807,2007,Premier League,33,A,Manchester United,1,FC Middlesbrough,13,2:2,RA,9',0:1,Linksschuss
81816,2007,Premier League,34,H,Manchester United,1,FC Arsenal,3,2:1,RA,53',1:1,Elfmeter
81852,2007,Premier League,37,H,Manchester United,1,West Ham United,10,4:1,RA,3',1:0,Rechtsschuss
81852,2007,Premier League,37,H,Manchester United,1,West Ham United,10,4:1,RA,24',2:0,Rechtsschuss
81860,2007,Premier League,38,A,Manchester United,1,Wigan Athletic,13,0:2,RA,32',0:1,Elfmeter
909764,2007,UEFA Champions League,Finale,H,Manchester United,,FC Chelsea,,6:5  n.E.,LA,26',1:0,Kopfball
929554,2008,EFL Cup,3.Runde,H,Manchester United,,FC Middlesbrough,,3:1,MS,25',1:0,Kopfball
923959,2008,Premier League,6,H,Manchester United,7,Bolton Wanderers,16,2:0,RA,59',1:0,Elfmeter
926248,2008,Premier League,8,H,Manchester United,3,West Bromwich Albion,9,4:0,RA,69',2:0,Linksschuss
926271,2008,Premier League,10,H,Manchester United,5,West Ham United,10,2:0,RA,14',1:0,Linksschuss
926271,2008,Premier League,10,H,Manchester United,5,West Ham United,10,2:0,RA,30',2:0,Rechtsschuss
926283,2008,Premier League,11,H,Manchester United,3,Hull City,6,4:3,RA,3',1:0,Linksschuss
926283,2008,Premier League,11,H,Manchester United,3,Hull City,6,4:3,RA,43',3:1,Kopfball
928551,2008,Premier League,13,H,Manchester United,3,Stoke City,12,5:0,LA,3',1:0,Direkter Freistoß
928551,2008,Premier League,13,H,Manchester United,3,Stoke City,12,5:0,LA,88',5:0,Direkter Freistoß
986420,2008,FIFA Klub-WM,Halbfinale,A,Manchester United,,Gamba Osaka,,3:5,LA,45'+1,0:2,Kopfball
933826,2008,EFL Cup,Halbfinale,H,Manchester United,,Derby County,,4:2,,89',4:1,Elfmeter
934244,2008,Premier League,23,A,Manchester United,1,West Bromwich Albion,20,0:5,LA,65',0:4,Rechtsschuss
934244,2008,Premier League,23,A,Manchester United,1,West Bromwich Albion,20,0:5,LA,73',0:5,Rechtsschuss
934260,2008,Premier League,24,H,Manchester United,1,FC Everton,6,1:0,RA,43',1:0,Elfmeter
936634,2008,FA Cup,5.Runde,A,Manchester United,,Derby County,,1:4,MS,68',1:3,Kopfball
936003,2008,Premier League,26,H,Manchester United,1,Blackburn Rovers,16,2:1,RA,60',2:1,Direkter Freistoß
933249,2008,UEFA Champions League,Achtelfinale,H,Manchester United,,Inter Mailand,,2:0,RA,49',2:0,Kopfball
936034,2008,Premier League,29,H,Manchester United,1,FC Liverpool,3,1:4,RA,22',1:0,Elfmeter
940300,2008,Premier League,31,H,Manchester United,1,Aston Villa,5,3:2,RA,11',1:0,Direkter Freistoß
940300,2008,Premier League,31,H,Manchester United,1,Aston Villa,5,3:2,RA,80',2:2,Linksschuss
940385,2008,UEFA Champions League,Viertelfinale,A,Manchester United,,FC Porto,,0:1,RA,6',0:1,Distanzschuss
940370,2008,Premier League,34,H,Manchester United,1,Tottenham Hotspur,9,5:2,RA,57',1:2,Elfmeter
940370,2008,Premier League,34,H,Manchester United,1,Tottenham Hotspur,9,5:2,RA,68',3:2,Kopfball
