game_id,player_current_club,tournament,gameday,venue_country,venue_city,venue,date,team,opponent,result,player_position,goal_amount,assists_amount,own_goals_amount,yellow_card,yellow_red_card,red_card
2266024,Manchester United,Freundschaftsspiele,,Portugal,Chaves,H,2003-08-20,Portugal,Kasachstan,1:0,RA,0,0,0,,,
2381478,Manchester United,Freundschaftsspiele,,Portugal,Lissabon,H,2003-10-11,Portugal,Albanien,5:3,RA,0,0,0,,,
1182089,Manchester United,Freundschaftsspiele,,Portugal,Faro,H,2004-02-18,Portugal,England,1:1,LA,0,0,0,,,
2328084,Manchester United,Freundschaftsspiele,,Portugal,Braga,H,2004-03-31,Portugal,Italien,1:2,LA,0,0,0,,,
2381457,Manchester United,Freundschaftsspiele,,Portugal,Coimbra,H,2004-04-28,Portugal,Schweden,2:2,RA,0,1,0,,,
2381458,Manchester United,Freundschaftsspiele,,Portugal,Águeda,H,2004-05-29,Portugal,Luxemburg,3:0,RA,0,0,0,,,
2381459,Manchester United,Freundschaftsspiele,,Portugal,Setúbal,H,2004-06-05,Portugal,Litauen,4:1,RA,0,0,0,,,
244,Manchester United,Europameisterschaft 2004,Gruppe A,Portugal,Porto,H,2004-06-12,Portugal,Griechenland,1:2,LA,1,0,0,,,
253,Manchester United,Europameisterschaft 2004,Gruppe A,Portugal,Lissabon,A,2004-06-16,Portugal,Russland,2:0,LA,0,1,0,,,
255,Manchester United,Europameisterschaft 2004,Gruppe A,Portugal,Lissabon,A,2004-06-20,Portugal,Spanien,1:0,LA,0,0,0,,,
21028,Manchester United,Europameisterschaft 2004,Viertelfinale,Portugal,Lissabon,H,2004-06-24,Portugal,England,8:7 n.E.,LA,0,0,0,,,
21032,Manchester United,Europameisterschaft 2004,Halbfinale,Portugal,Lissabon,H,2004-06-30,Portugal,Niederlande,2:1,LA,1,1,0,27',,
21034,Manchester United,Europameisterschaft 2004,Finale,Portugal,Lissabon,H,2004-07-04,Portugal,Griechenland,0:1,LA,0,0,0,,,
2367723,Manchester United,WM-Qualifikation Europa,Gruppe 3,Lettland,Riga,A,2004-09-04,Portugal,Lettland,2:0,RA,1,1,0,,,
2367726,Manchester United,WM-Qualifikation Europa,Gruppe 3,Portugal,Leiria,H,2004-09-08,Portugal,Estland,4:0,RA,1,2,0,,,
2367729,Manchester United,WM-Qualifikation Europa,Gruppe 3,Liechtenstein,Vaduz,A,2004-10-09,Portugal,Liechtenstein,2:2,LA,0,1,0,,,
2367732,Manchester United,WM-Qualifikation Europa,Gruppe 3,Portugal,Lissabon,H,2004-10-13,Portugal,Russland,7:1,LA,2,1,0,,,
2367735,Manchester United,WM-Qualifikation Europa,Gruppe 3,Luxemburg,Luxemburg,A,2004-11-17,Portugal,Luxemburg,5:0,RA,1,0,0,,,
2381370,Manchester United,Freundschaftsspiele,,Irland,Dublin,A,2005-02-09,Portugal,Irland,0:1,RA,0,0,0,,,
2381371,Manchester United,Freundschaftsspiele,,Portugal,Vila Boa,H,2005-03-26,Portugal,Kanada,4:1,RA,0,0,0,,,
2367739,Manchester United,WM-Qualifikation Europa,Gruppe 3,Slowakei,Bratislava,A,2005-03-30,Portugal,Slowakei,1:1,RA,0,0,0,,,
2367744,Manchester United,WM-Qualifikation Europa,Gruppe 3,Portugal,Lissabon,H,2005-06-04,Portugal,Slowakei,2:0,LA,1,0,0,,,
2367748,Manchester United,WM-Qualifikation Europa,Gruppe 3,Estland,Tallinn,A,2005-06-08,Portugal,Estland,1:0,LA,1,0,0,,,
2367714,Manchester United,WM-Qualifikation Europa,Gruppe 3,Portugal,Faro,H,2005-09-03,Portugal,Luxemburg,6:0,LA,0,0,0,,,
2367710,Manchester United,WM-Qualifikation Europa,Gruppe 3,Russland,Moskau,A,2005-09-07,Portugal,Russland,0:0,LA,0,0,0,,,
2367708,Manchester United,WM-Qualifikation Europa,Gruppe 3,Portugal,Aveiro,H,2005-10-08,Portugal,Liechtenstein,2:1,LA,0,1,0,28',,
2367703,Manchester United,WM-Qualifikation Europa,Gruppe 3,Portugal,Porto,H,2005-10-12,Portugal,Lettland,3:0,LA,0,0,0,,,
2372160,Manchester United,Freundschaftsspiele,,Portugal,Coimbra,H,2005-11-12,Portugal,Kroatien,2:0,RA,0,1,0,,,
2372159,Manchester United,Freundschaftsspiele,,Nordirland,Belfast,A,2005-11-15,Portugal,Nordirland,1:1,RA,0,0,0,,,
2372147,Manchester United,Freundschaftsspiele,,Deutschland,Düsseldorf,H,2006-03-01,Portugal,Saudi-Arabien,3:0,LA,2,0,0,,,
2372146,Manchester United,Freundschaftsspiele,,Portugal,Èvora,H,2006-05-27,Portugal,Kap Verde,4:1,LA,0,0,0,58',,
2372145,Manchester United,Freundschaftsspiele,,Frankreich,Longeville-lès-Metz,A,2006-06-03,Portugal,Luxemburg,3:0,LA,0,0,0,32',,
46380,Manchester United,Weltmeisterschaft 2006,Gruppe D,Deutschland,Köln,A,2006-06-11,Portugal,Angola,1:0,RA,0,0,0,26',,
49327,Manchester United,Weltmeisterschaft 2006,Gruppe D,Deutschland,Frankfurt (Main),H,2006-06-17,Portugal,Iran,2:0,LA,1,0,0,,,
53479,Manchester United,Weltmeisterschaft 2006,Achtelfinale,Deutschland,Nürnberg,H,2006-06-25,Portugal,Niederlande,1:0,LA,0,0,0,,,
53485,Manchester United,Weltmeisterschaft 2006,Viertelfinale,Deutschland,Gelsenkirchen,A,2006-07-01,Portugal,England,3:1 n.E.,LA,0,0,0,,,
53489,Manchester United,Weltmeisterschaft 2006,Halbfinale,Deutschland,München,H,2006-07-05,Portugal,Frankreich,0:1,LA,0,0,0,,,
53490,Manchester United,Weltmeisterschaft 2006,Spiel um Platz Drei,Deutschland,Stuttgart,A,2006-07-08,Portugal,Deutschland,1:3,RA,0,0,0,,,
2372139,Manchester United,Freundschaftsspiele,,Dänemark,Brøndby,A,2006-09-01,Portugal,Dänemark,2:4,RA,0,1,0,,,
64676,Manchester United,EM-Qualifikation,Gruppe A,Finnland,Helsinki,A,2006-09-06,Portugal,Finnland,1:1,RA,0,0,0,,,
64699,Manchester United,EM-Qualifikation,Gruppe A,Portugal,Porto,H,2006-10-07,Portugal,Aserbaidschan,3:0,RA,2,1,0,,,
64721,Manchester United,EM-Qualifikation,Gruppe A,Polen,Chorzow,A,2006-10-11,Portugal,Polen,1:2,RA,0,0,0,,,
64742,Manchester United,EM-Qualifikation,Gruppe A,Portugal,Coimbra,H,2006-11-15,Portugal,Kasachstan,3:0,RA,1,0,0,,,
2372137,Manchester United,Freundschaftsspiele,,England,London,A,2007-02-06,Portugal,Brasilien,2:0,RA,0,0,0,,,
64761,Manchester United,EM-Qualifikation,Gruppe A,Portugal,Lissabon,H,2007-03-24,Portugal,Belgien,4:0,RA,2,1,0,45',,
64784,Manchester United,EM-Qualifikation,Gruppe A,Serbien,Belgrad,A,2007-03-28,Portugal,Serbien,1:1,RA,0,0,0,35',,
68657,Manchester United,EM-Qualifikation,Gruppe A,Armenien,Yerevan,A,2007-08-22,Portugal,Armenien,1:1,RA,1,0,0,,,
84572,Manchester United,EM-Qualifikation,Gruppe A,Portugal,Lissabon,H,2007-09-08,Portugal,Polen,2:2,RA,1,0,0,,,
84628,Manchester United,EM-Qualifikation,Gruppe A,Portugal,Lissabon,H,2007-09-12,Portugal,Serbien,1:1,RA,0,0,0,,,
86188,Manchester United,EM-Qualifikation,Gruppe A,Aserbaidschan,Baku,A,2007-10-13,Portugal,Aserbaidschan,2:0,RA,0,0,0,,,
